,file,min KS,max KS,mean KS,std KS
0,EtOH_moldyn_data_500.xyz,1.0,1.0,1.0,0.0
1,EtOH_moldyn_data_700.xyz,0.0,7.385726291142986e-07,1.0568445500488581e-07,2.5852853293239184e-07
2,Speed_up_ethanol12_2_700.xyz,7.73481172282641e-108,0.08111020934382085,0.006246563176186045,0.022493741392612746
3,SVD_not_regularized12_2_500.xyz,4.802280865498246e-102,0.012626056221479956,0.0009802005806261978,0.0034992900187796475
4,SVD_not_regularized15_4_500.xyz,8.321318605291959e-305,0.0006623722555900288,9.672878843912642e-05,0.00023650914423907268
5,SVD_not_regularized15_4_700.xyz,1.0930914954789659e-233,0.004161348430193045,0.0003931691258707539,0.001148557385596362
6,SVD_regularized12_2_500.xyz,1.13154627948117e-80,0.29896276230878305,0.02941981530169879,0.084137742069542
7,SVD_regularized12_2_500_v2.xyz,1.20310872662e-312,0.0003231898804933991,2.4874079089829083e-05,8.963274945861145e-05
8,SVD_regularized12_2_700.xyz,3.7130315568001904e-157,0.005528887705529789,0.0005182377459804567,0.0015420704483973188
9,SVD_regularized12_2_700_v2.xyz,9.793585889821851e-107,1.888908225410168e-06,1.4530064969774652e-07,5.238888765432187e-07
10,SVD_regularized15_4_500.xyz,9.772684175949562e-154,5.512068449890475e-20,4.242933653591671e-21,1.528686474285972e-20
11,SVD_regularized15_4_700.xyz,3.1655368589404845e-177,0.0019055143856447664,0.0001527814816536268,0.0005270614910675222
12,Velverlet_12_500.xyz,2.6257409979943694e-78,1.004173616819405e-05,1.687662900186613e-06,3.3326907362012844e-06
13,Velverlet_12_700.xyz,0.0,0.0004089982976619123,7.423769006107809e-05,0.00014399850104209228
