,file,"5, 0, 1","std 5, 0, 1","4, 0, 1","std 4, 0, 1","3, 0, 1","std 3, 0, 1","5, 0, 3","std 5, 0, 3","4, 0, 3","std 4, 0, 3","4, 0, 5","std 4, 0, 5","0, 1, 2","std 0, 1, 2","0, 1, 6","std 0, 1, 6","0, 1, 7","std 0, 1, 7","6, 1, 7","std 6, 1, 7","6, 1, 2","std 6, 1, 2","7, 1, 2","std 7, 1, 2","1, 2, 8","std 1, 2, 8"
0,EtOH_moldyn_data_500.xyz,110.743047917787,0.06522611200958857,110.49277781337953,0.06322317851024056,109.99995245414823,0.0655616935595834,108.13518783433379,0.066447027825857,107.64427487337599,0.05381232233850377,107.92554437793292,0.07081303455817468,110.79248126860803,0.037750925572021504,108.18945801100635,0.05275147234426205,108.47261729004023,0.05499727955514807,105.90592414878353,0.05475538705718705,112.53767633005668,0.05705027217369263,109.64265892911361,0.059580081579666114,102.56549225399627,0.049606223914360134
1,EtOH_moldyn_data_700.xyz,110.40841910346242,0.05317718734182269,110.78350665815519,0.04669116065039128,110.13143843692092,0.05368295187943013,107.88448279142072,0.048139906925696356,108.31915101048351,0.051413801447005116,108.14919301678388,0.0503354120468001,108.3541865818084,0.03592842361618594,108.35546899742802,0.048453399030081716,108.3455072087502,0.05141395623174039,105.89330651224725,0.056678301799174366,111.93676046711882,0.04704287530291933,113.00677900362834,0.047760014883104496,102.86166725014391,0.049130284542199275
2,Speed_up_ethanol12_2_700.xyz,110.42005508149471,0.06836492898250093,110.7463669405772,0.06775285980214403,110.09755620830151,0.06256205600011322,107.93474212880369,0.06712236751330607,108.10612155055003,0.07618842476042174,107.88115340415504,0.06204858437523325,109.50754720032363,0.04610094067790673,108.58364284449159,0.05345782297898915,108.43075886531068,0.051705964937363465,105.88822911261728,0.06504074755961296,111.09579849638935,0.06473209872720873,112.08118362481208,0.06320898989651295,102.84351140901246,0.06079718386695989
3,SVD_not_regularized12_2_500.xyz,110.44847952766587,0.05796263778119925,110.29219187838805,0.05676567538257466,110.30839279532537,0.05916040004194707,107.80151865794812,0.054773624307592875,107.83494343907519,0.059296183694870164,107.88811452262199,0.061389797818802765,110.31322353467138,0.04363937758935657,108.52989723005534,0.05449589494076983,108.45149351290017,0.05344366127470147,105.77401121858118,0.045733758234701286,110.78716519968309,0.05818447608443183,111.49698963287031,0.0596043568766926,102.61048148866008,0.05578909209110736
4,SVD_not_regularized15_4_500.xyz,110.00416970869773,0.04874082059901948,110.23602886317569,0.04862003974514366,110.48322471789818,0.04838144272324749,108.01594464182,0.04830659029106662,108.15503678392315,0.05494690036030435,107.95203055060257,0.05722925681813559,109.7918794857044,0.047881011888532506,108.34790351601224,0.0481314025104698,108.05501180560526,0.04827515085068522,106.15404129674074,0.06309792379227619,110.14407017174058,0.05043137027313875,112.4730875525577,0.048940772503780296,102.86988199333663,0.04838523658541718
5,SVD_not_regularized15_4_700.xyz,110.22631792522506,0.04703359040744798,109.96978076660503,0.046614386215183455,110.52397716233943,0.04420048993335633,108.06837351962763,0.05214080086609731,108.23629697812994,0.05430631111265601,108.05829825522508,0.05905018301365426,109.05000769455299,0.034068330266620914,108.3181727311677,0.041602662224188416,108.41032178064782,0.041020268453323246,106.13929128599891,0.05303606159844188,112.4278024863388,0.04434225591353138,111.15092353841021,0.045876459964976614,102.92720350480676,0.044423320596834785
6,SVD_regularized12_2_500.xyz,110.23299035311412,0.16507850634065718,110.76808316032394,0.17708772965191774,109.93072648507774,0.19269568372673768,107.82204164740422,0.15908146831808295,108.23620176509714,0.16395757822096363,108.33909500331879,0.16627404478173863,108.55622553868302,0.13758049642400275,108.57990178342688,0.1368109869193251,108.50057987434484,0.13921595743719417,105.49551441154198,0.08788705193518015,112.3240790728021,0.17010463796130895,112.44730598429037,0.18101872860059068,103.09567887516378,0.20571451903032903
7,SVD_regularized12_2_500_v2.xyz,110.45445898267653,0.053759862639849,110.2940219998035,0.050630336730845986,110.02537782992712,0.050338137777159356,107.87955732753946,0.0534305803802075,107.98809326749893,0.058775185292255616,107.86329797042839,0.05601508075931928,111.17253259835033,0.05011882515325718,108.31612346630162,0.04619706187260181,108.4973410250651,0.04551001758475774,105.74222943394506,0.041729304911775185,112.02953293297269,0.04614300911476212,109.5061888827661,0.04750646436375534,102.75772190363885,0.045271335922478464
8,SVD_regularized12_2_700.xyz,110.25134425663083,0.1976316041088956,110.2236337237417,0.16320251828428817,110.7230174265336,0.1375838029021504,108.2434148125697,0.13208056697800005,108.26263173462137,0.13577905966306814,107.96825140692866,0.11442823906301088,106.39578619755258,0.10735740232214018,108.62488610990441,0.1321273695414323,108.65827034515306,0.14492673714678436,106.01472516728187,0.21465650377646367,113.04406348060103,0.1329432820452298,113.07487037585558,0.13868010011487297,102.93886630028238,0.15385699835134004
9,SVD_regularized12_2_700_v2.xyz,110.50406161996112,0.05275949891987688,110.30872769992129,0.0524489073772443,110.40033823597241,0.04606443175723765,107.8989883672416,0.055262396739495956,108.01614687238586,0.05965193203451833,107.71315415131922,0.04683598562438764,110.95426186609363,0.03289065545378034,108.41602529466132,0.04848066141486968,108.34458060105727,0.04925239902416945,105.75990795392126,0.04792657753694743,110.77960996384513,0.048170985872963486,110.99675115802519,0.04676842473372172,102.62714993091022,0.043769647179420196
10,SVD_regularized15_4_500.xyz,110.10463451566265,0.05434961479201542,110.41414041805966,0.05611520986093737,110.65948517702253,0.0561581722630477,107.74998338119428,0.05973327726379593,107.698947824976,0.05549230664352622,107.84376845349215,0.05978785641282158,111.07956798313562,0.042389350273625184,108.3149636046809,0.051485882223430465,108.41668173488608,0.051668282942943636,106.1365241463057,0.05630265783710199,111.15784530572147,0.05099432505443312,109.80898845385872,0.052675853069827264,102.66216565285191,0.04903258813760733
11,SVD_regularized15_4_700.xyz,110.17313681830673,0.049736772265788244,110.61568457938931,0.04965965716643819,110.3112094067777,0.04736096858435201,107.79454825492266,0.05237493390673963,108.00963390176558,0.0549372625617835,107.83472301007765,0.04832106878345619,110.18641452874992,0.04514671900590575,108.36792804047465,0.04945466100267878,108.36061165093498,0.0475835906232352,106.15337814214324,0.05358694177520219,111.5292986850194,0.04577209463220541,110.75388989636077,0.04631529872364278,102.63918470420198,0.0391859421594621
